From_SCATS,To_SCATS,Distance_km
0970,0970,0.04759140464598013
0970,0970,0.04759140464598013
0970,0970,0.06429232507663014
0970,0970,0.06429232507663014
0970,0970,0.05404434623926842
0970,0970,0.05404434623926842
0970,2000,1.7206299036217672
2000,0970,1.7206299036217672
0970,2000,1.6972227231036132
2000,0970,1.6972227231036132
0970,2000,1.661500091484926
2000,0970,1.661500091484926
0970,2000,1.696759958906892
2000,0970,1.696759958906892
0970,2200,5.658855511126102
2200,0970,5.658855511126102
0970,2200,5.634086735496375
2200,0970,5.634086735496375
0970,2200,5.601648400789403
2200,0970,5.601648400789403
0970,2200,5.636775007248744
2200,0970,5.636775007248744
0970,2820,9.643339348157141
2820,0970,9.643339348157141
0970,2820,9.670989382247882
2820,0970,9.670989382247882
0970,2825,9.29795467619528
2825,0970,9.29795467619528
0970,2827,9.638625982946962
2827,0970,9.638625982946962
0970,2827,9.505621206352718
2827,0970,9.505621206352718
0970,2827,9.447644807232583
2827,0970,9.447644807232583
0970,2827,9.60647191325406
2827,0970,9.60647191325406
0970,2846,3.0208793714956093
2846,0970,3.0208793714956093
0970,2846,2.974397699667668
2846,0970,2.974397699667668
0970,2846,3.0599008870616284
2846,0970,3.0599008870616284
0970,2846,3.0815665172675177
2846,0970,3.0815665172675177
0970,3001,8.436238630238869
3001,0970,8.436238630238869
0970,3001,8.403289536183394
3001,0970,8.403289536183394
0970,3001,8.42873058498211
3001,0970,8.42873058498211
0970,3001,8.476255580909719
3001,0970,8.476255580909719
0970,3002,8.135478575484399
3002,0970,8.135478575484399
0970,3002,8.083602677333609
3002,0970,8.083602677333609
0970,3002,8.098211383291803
3002,0970,8.098211383291803
0970,3002,8.153076208442139
3002,0970,8.153076208442139
0970,3120,5.776080716991654
3120,0970,5.776080716991654
0970,3120,5.728823293142913
3120,0970,5.728823293142913
0970,3120,5.7325032614055536
3120,0970,5.7325032614055536
0970,3120,5.780320319106579
3120,0970,5.780320319106579
0970,3122,5.3527673040483545
3122,0970,5.3527673040483545
0970,3122,5.3400947324552295
3122,0970,5.3400947324552295
0970,3122,5.3769632597945485
3122,0970,5.3769632597945485
0970,3126,4.403109990669627
3126,0970,4.403109990669627
0970,3126,4.371151187593003
3126,0970,4.371151187593003
0970,3126,4.4029452741534065
3126,0970,4.4029452741534065
0970,3127,4.809514205085519
3127,0970,4.809514205085519
0970,3127,4.772450367017581
3127,0970,4.772450367017581
0970,3127,4.796537984746587
3127,0970,4.796537984746587
0970,3180,7.902074533643981
3180,0970,7.902074533643981
0970,3180,7.87710752258346
3180,0970,7.87710752258346
0970,3180,7.897828622510335
3180,0970,7.897828622510335
0970,3662,8.578302457127807
3662,0970,8.578302457127807
0970,3662,8.548291642487046
3662,0970,8.548291642487046
0970,3662,8.55281711291837
3662,0970,8.55281711291837
0970,3662,8.595685101068524
3662,0970,8.595685101068524
0970,3682,3.3723447940242712
3682,0970,3.3723447940242712
0970,3682,3.3119413211584665
3682,0970,3.3119413211584665
0970,3682,3.255830770148412
3682,0970,3.255830770148412
0970,3682,3.3132235482534163
3682,0970,3.3132235482534163
0970,3685,1.386098073569514
3685,0970,1.386098073569514
0970,3685,1.3658776318299377
3685,0970,1.3658776318299377
0970,3685,1.3345588903189645
3685,0970,1.3345588903189645
0970,3804,4.53609741322754
3804,0970,4.53609741322754
0970,3804,4.486456151715113
3804,0970,4.486456151715113
0970,3804,4.485632449269065
3804,0970,4.485632449269065
0970,3804,4.530380906638169
3804,0970,4.530380906638169
0970,3812,4.241285524346385
3812,0970,4.241285524346385
0970,3812,4.2100206294055535
3812,0970,4.2100206294055535
0970,3812,4.260555839148439
3812,0970,4.260555839148439
0970,3812,4.288153519169231
3812,0970,4.288153519169231
0970,4030,8.330257639047373
4030,0970,8.330257639047373
0970,4030,8.362646833111796
4030,0970,8.362646833111796
0970,4030,8.461131881095316
4030,0970,8.461131881095316
0970,4032,7.6934936285961975
4032,0970,7.6934936285961975
0970,4032,7.645907959172517
4032,0970,7.645907959172517
0970,4032,7.640385723960012
4032,0970,7.640385723960012
0970,4032,7.683740187305026
4032,0970,7.683740187305026
0970,4034,6.784402115556157
4034,0970,6.784402115556157
0970,4034,6.724783855213146
4034,0970,6.724783855213146
0970,4034,6.719686795929516
4034,0970,6.719686795929516
0970,4034,6.7637913068453015
4034,0970,6.7637913068453015
0970,4035,6.250164484769555
4035,0970,6.250164484769555
0970,4035,6.2178393721917935
4035,0970,6.2178393721917935
0970,4035,6.083914220697605
4035,0970,6.083914220697605
0970,4035,6.141549641604615
4035,0970,6.141549641604615
0970,4040,4.975432827613947
4040,0970,4.975432827613947
0970,4040,4.915428878788728
4040,0970,4.915428878788728
0970,4040,4.913050080238217
4040,0970,4.913050080238217
0970,4040,4.925875309411898
4040,0970,4.925875309411898
0970,4040,4.974258056133262
4040,0970,4.974258056133262
0970,4040,4.998579667767618
4040,0970,4.998579667767618
0970,4043,4.087765060116598
4043,0970,4.087765060116598
0970,4043,4.037367482981165
4043,0970,4.037367482981165
0970,4043,4.061712106736156
4043,0970,4.061712106736156
0970,4043,4.120870700894142
4043,0970,4.120870700894142
0970,4051,8.313289040433643
4051,0970,8.313289040433643
0970,4051,8.315394457414918
4051,0970,8.315394457414918
0970,4051,8.342918754413411
4051,0970,8.342918754413411
0970,4057,7.012821183507149
4057,0970,7.012821183507149
0970,4057,6.92284932986089
4057,0970,6.92284932986089
0970,4057,6.869163422337834
4057,0970,6.869163422337834
0970,4057,6.962988373669849
4057,0970,6.962988373669849
0970,4063,5.967866957454341
4063,0970,5.967866957454341
0970,4063,5.923313037590397
4063,0970,5.923313037590397
0970,4063,5.891251511429445
4063,0970,5.891251511429445
0970,4063,5.949583362177184
4063,0970,5.949583362177184
0970,4262,8.419709572198398
4262,0970,8.419709572198398
0970,4263,7.633424759144186
4263,0970,7.633424759144186
0970,4263,7.578053136176681
4263,0970,7.578053136176681
0970,4263,7.607787380815392
4263,0970,7.607787380815392
0970,4263,7.701167370211359
4263,0970,7.701167370211359
