From_SCATS,To_SCATS,Distance_km,Estimated_Speed_kmh,Estimated_Travel_Time_Minutes,Traffic_Flow_Volume
970.0,970.0,0.0475914046459801,60,0.5475914046459801,147.26626016260164
970.0,970.0,0.0475914046459801,60,0.5475914046459801,147.26626016260164
970.0,970.0,0.0642923250766301,60,0.5642923250766301,147.26626016260164
970.0,970.0,0.0642923250766301,60,0.5642923250766301,147.26626016260164
970.0,970.0,0.0540443462392684,60,0.5540443462392685,147.26626016260164
970.0,970.0,0.0540443462392684,60,0.5540443462392685,147.26626016260164
970.0,2000.0,1.7206299036217672,60,2.2206299036217674,147.26626016260164
2000.0,970.0,1.7206299036217672,60,2.2206299036217674,156.91840277777777
970.0,2000.0,1.6972227231036132,60,2.1972227231036134,147.26626016260164
2000.0,970.0,1.6972227231036132,60,2.1972227231036134,156.91840277777777
970.0,2000.0,1.661500091484926,60,2.161500091484926,147.26626016260164
2000.0,970.0,1.661500091484926,60,2.161500091484926,156.91840277777777
970.0,2000.0,1.696759958906892,60,2.196759958906892,147.26626016260164
2000.0,970.0,1.696759958906892,60,2.196759958906892,156.91840277777777
970.0,2200.0,5.658855511126102,60,6.158855511126102,147.26626016260164
2200.0,970.0,5.658855511126102,60,6.158855511126102,82.62373991935483
970.0,2200.0,5.634086735496375,60,6.134086735496375,147.26626016260164
2200.0,970.0,5.634086735496375,60,6.134086735496375,82.62373991935483
970.0,2200.0,5.601648400789403,60,6.101648400789403,147.26626016260164
2200.0,970.0,5.601648400789403,60,6.101648400789403,82.62373991935483
970.0,2200.0,5.636775007248744,60,6.136775007248744,147.26626016260164
2200.0,970.0,5.636775007248744,60,6.136775007248744,82.62373991935483
970.0,2820.0,9.64333934815714,60,10.14333934815714,147.26626016260164
2820.0,970.0,9.64333934815714,60,10.14333934815714,113.31113387978142
970.0,2820.0,9.670989382247882,60,10.170989382247882,147.26626016260164
2820.0,970.0,9.670989382247882,60,10.170989382247882,113.31113387978142
970.0,2825.0,9.29795467619528,60,9.79795467619528,147.26626016260164
2825.0,970.0,9.29795467619528,60,9.79795467619528,144.8111559139785
970.0,2827.0,9.638625982946962,60,10.138625982946962,147.26626016260164
2827.0,970.0,9.638625982946962,60,10.138625982946962,120.93909610215054
970.0,2827.0,9.505621206352718,60,10.005621206352718,147.26626016260164
2827.0,970.0,9.505621206352718,60,10.005621206352718,120.93909610215054
970.0,2827.0,9.447644807232583,60,9.947644807232583,147.26626016260164
2827.0,970.0,9.447644807232583,60,9.947644807232583,120.93909610215054
970.0,2827.0,9.60647191325406,60,10.10647191325406,147.26626016260164
2827.0,970.0,9.60647191325406,60,10.10647191325406,120.93909610215054
970.0,2846.0,3.0208793714956093,60,3.5208793714956093,147.26626016260164
2846.0,970.0,3.0208793714956093,60,3.5208793714956093,71.26478494623656
970.0,2846.0,2.974397699667668,60,3.474397699667668,147.26626016260164
2846.0,970.0,2.974397699667668,60,3.474397699667668,71.26478494623656
970.0,2846.0,3.0599008870616284,60,3.559900887061628,147.26626016260164
2846.0,970.0,3.0599008870616284,60,3.559900887061628,71.26478494623656
970.0,2846.0,3.0815665172675177,60,3.5815665172675177,147.26626016260164
2846.0,970.0,3.0815665172675177,60,3.5815665172675177,71.26478494623656
970.0,3001.0,8.436238630238869,60,8.936238630238869,147.26626016260164
3001.0,970.0,8.436238630238869,60,8.936238630238869,141.69967105263157
970.0,3001.0,8.403289536183394,60,8.903289536183394,147.26626016260164
3001.0,970.0,8.403289536183394,60,8.903289536183394,141.69967105263157
970.0,3001.0,8.42873058498211,60,8.92873058498211,147.26626016260164
3001.0,970.0,8.42873058498211,60,8.92873058498211,141.69967105263157
970.0,3001.0,8.476255580909719,60,8.976255580909719,147.26626016260164
3001.0,970.0,8.476255580909719,60,8.976255580909719,141.69967105263157
970.0,3002.0,8.135478575484399,60,8.635478575484399,147.26626016260164
3002.0,970.0,8.135478575484399,60,8.635478575484399,120.94871794871794
970.0,3002.0,8.083602677333609,60,8.583602677333609,147.26626016260164
3002.0,970.0,8.083602677333609,60,8.583602677333609,120.94871794871794
970.0,3002.0,8.098211383291803,60,8.598211383291803,147.26626016260164
3002.0,970.0,8.098211383291803,60,8.598211383291803,120.94871794871794
970.0,3002.0,8.153076208442139,60,8.653076208442139,147.26626016260164
3002.0,970.0,8.153076208442139,60,8.653076208442139,120.94871794871794
970.0,3120.0,5.776080716991654,60,6.276080716991654,147.26626016260164
3120.0,970.0,5.776080716991654,60,6.276080716991654,120.61113911290323
970.0,3120.0,5.728823293142913,60,6.228823293142913,147.26626016260164
3120.0,970.0,5.728823293142913,60,6.228823293142913,120.61113911290323
970.0,3120.0,5.7325032614055536,60,6.2325032614055536,147.26626016260164
3120.0,970.0,5.7325032614055536,60,6.2325032614055536,120.61113911290323
970.0,3120.0,5.780320319106579,60,6.280320319106579,147.26626016260164
3120.0,970.0,5.780320319106579,60,6.280320319106579,120.61113911290323
970.0,3122.0,5.3527673040483545,60,5.8527673040483545,147.26626016260164
3122.0,970.0,5.3527673040483545,60,5.8527673040483545,120.76097670250896
970.0,3122.0,5.3400947324552295,60,5.8400947324552295,147.26626016260164
3122.0,970.0,5.3400947324552295,60,5.8400947324552295,120.76097670250896
970.0,3122.0,5.3769632597945485,60,5.8769632597945485,147.26626016260164
3122.0,970.0,5.3769632597945485,60,5.8769632597945485,120.76097670250896
970.0,3126.0,4.403109990669627,60,4.903109990669627,147.26626016260164
3126.0,970.0,4.403109990669627,60,4.903109990669627,137.8309811827957
970.0,3126.0,4.371151187593003,60,4.871151187593002,147.26626016260164
